implement,実行する、導入する
department,部門、売り場
review,検討する、論評する
detail,詳細
advertising,広告
expect,予期する、予定する
firm,会社
contract,契約
performance,成績、仕事ぶり
pleased,喜んで、満足して
confirm,確認する
clothing,衣料品
obviously,明らかに
apply,適用する
describe,説明する
facility,拠点
committee,委員会
resume,履歴書
executive,重役
proposal,提案
supply,必需品
bill ,請求書
approve,を承認する
conduct,実施する
warranty,保証、保証書
paid,有給の
rent,家賃
memo,社内文書
procedure,手続き
personnel,社員、人事部
degree,学位、程度、度
host,司会者
remind,再確認する、念押しする
require,求める
representative,担当者、代表者
description,説明する
property,不動産、資産
extension,内線、延長
inquire,問い合わせる
assistance,支援、援助
individual,個人
headquarters,本社
ship,出荷する
commercial,商用の
insensitive,無神経な
incremental,漸進的な、少しずつの、増加する
trail,跡・小道／追跡する、引きずる
definitions,定義
slug,ナメクジ／弾丸／URLの末尾識別子／強く殴る
schemes,計画／制度／たくらみ
swanky,おしゃれな、ハイクラスな、気取った
thirsty,喉が渇いた／渇望する／必死すぎる
barely,かろうじて／ほとんど〜ない
tangerine,タンジェリン／鮮やかなオレンジ色
sniffle,鼻をすする／すすり泣く／鼻風邪症状
anarchy,無政府状態、無秩序、混乱
lousy,ひどい、最低の、お粗末な
starve,餓死する、飢える／飢えさせる
starving,お腹ペコペコの／飢えている
authorized,認可された、公認の／authorizeの過去・過去分詞
underpin,〜の土台となる、〜を支える、〜の根拠となる
interfere,干渉する、邪魔する、妨げる
unless,〜でない限り／もし〜でなければ
privilege,特権、特典／光栄、名誉／優遇する
interrupt,中断する、遮る／割り込み
criteria,基準、判断基準
stable,安定した、しっかりした／馬小屋
restricted,制限された、限定された、立入禁止の／restrictの過去分詞
certain,確かな、確実な／確信している／ある〜、特定の
distribute,分配する、配る／流通させる／分布する
tribute,賛辞、感謝・敬意のしるし／貢ぎ物
contribute,貢献する、寄与する／寄付する／寄稿する
attribute,〜のせいにする、〜の結果だと考える／属性、特質
conflict,対立、衝突、紛争／矛盾／矛盾する、対立する
append,付け加える、末尾に追加する／添付する
crucial,極めて重要な、決定的な、不可欠な
supplementary,補足の、追加の／補足資料、増刊
